date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:25	55967/55967	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-da9f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.9.0/css/all.min.css	C:/Users/ADMIN/Downloads/Meme%20Project/frog/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.9.0/css/all.min.css	(from https://frogtoken.net/)
10:52:26	120350/120350	---M--	200	added ('OK')	image/png	etag:%22331cc696f548d91:0%22	https://frogtoken.net/img/logo.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/logo.png	(from https://frogtoken.net/)
10:52:26	35729/35729	---M--	200	added ('OK')	image/png	etag:%226d7723eff648d91:0%22	https://frogtoken.net/img/logo_dark.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/logo_dark.png	(from https://frogtoken.net/)
10:52:26	548/548	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/images/gradient-circle.svg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/gradient-circle.svg	(from https://frogtoken.net/)
10:52:27	367257/367257	---M--	200	added ('OK')	application/pdf	etag:%221495f8d81f52d91:0%22	https://frogtoken.net/wp.pdf	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/wp.pdf	(from https://frogtoken.net/)
10:52:27	301/301	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220a854fec9c9d81:0%22	https://frogtoken.net/assets/images/objects/star-01.svg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/objects/star-01.svg	(from https://frogtoken.net/)
10:52:27	523/523	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220a854fec9c9d81:0%22	https://frogtoken.net/assets/images/objects/star-02.svg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/objects/star-02.svg	(from https://frogtoken.net/)
10:52:28	148/148	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220a854fec9c9d81:0%22	https://frogtoken.net/assets/images/objects/circle-01.svg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/objects/circle-01.svg	(from https://frogtoken.net/)
10:52:28	785/785	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220ccfb4778cad81:0%22	https://frogtoken.net/assets/images/objects/circle-02.svg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/objects/circle-02.svg	(from https://frogtoken.net/)
10:52:28	375/375	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220774efc17ced81:0%22	https://frogtoken.net/assets/images/objects/square-round.svg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/objects/square-round.svg	(from https://frogtoken.net/)
10:52:28	21899/21899	---M--	200	added ('OK')	image/jpeg	etag:%22128b4d57384ad91:0%22	https://frogtoken.net/assets/images/artwork/06.jpg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/artwork/06.jpg	(from https://frogtoken.net/)
10:52:29	30806/30806	---M--	200	added ('OK')	image/jpeg	etag:%22979bd14314ad91:0%22	https://frogtoken.net/assets/images/artwork/16.jpg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/artwork/16.jpg	(from https://frogtoken.net/)
10:52:29	20330/20330	---M--	200	added ('OK')	image/png	etag:%22eadba9f81649d91:0%22	https://frogtoken.net/img/cmc.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/cmc.png	(from https://frogtoken.net/)
10:52:30	32928/32928	---M--	200	added ('OK')	image/png	etag:%223d75e8f81649d91:0%22	https://frogtoken.net/img/cg.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/cg.png	(from https://frogtoken.net/)
10:52:30	20819/20819	---M--	200	added ('OK')	image/png	etag:%22575a4936052d91:0%22	https://frogtoken.net/img/pinksale3.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/pinksale3.png	(from https://frogtoken.net/)
10:52:31	19774/19774	---M--	200	added ('OK')	image/png	etag:%22da2acf81649d91:0%22	https://frogtoken.net/img/poocoin.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/poocoin.png	(from https://frogtoken.net/)
10:52:31	15649/15649	---M--	200	added ('OK')	image/png	etag:%229f97dcf81649d91:0%22	https://frogtoken.net/img/dext.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/dext.png	(from https://frogtoken.net/)
10:52:32	24342/24342	---M--	200	added ('OK')	image/png	etag:%22927e2f81649d91:0%22	https://frogtoken.net/img/bogged.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/bogged.png	(from https://frogtoken.net/)
10:52:33	420/420	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/images/divider-01.svg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/divider-01.svg	(from https://frogtoken.net/)
10:52:34	444187/444187	---M--	200	added ('OK')	image/png	etag:%226867c94c384ad91:0%22	https://frogtoken.net/img/eco/froginu.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/froginu.png	(from https://frogtoken.net/)
10:52:34	51135/51135	---M--	200	added ('OK')	image/png	etag:%22eaa7b653886fd91:0%22	https://frogtoken.net/img/eco/game3.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/game3.png	(from https://frogtoken.net/)
10:52:34	357596/357596	---M--	200	added ('OK')	image/png	etag:%22c13289c8354ad91:0%22	https://frogtoken.net/img/eco/started.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/started.png	(from https://frogtoken.net/)
10:52:35	7869/7869	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Apr%202023%2012:20:57%20GMT	https://frogtoken.net/froggame/	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/froggame/index.html	(from https://frogtoken.net/)
10:52:36	1601240/1601240	---M--	200	added ('OK')	image/png	etag:%22a24453f1149d91:0%22	https://frogtoken.net/img/eco/wallet.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/wallet.png	(from https://frogtoken.net/)
10:52:36	1628451/1628451	---M--	200	added ('OK')	image/png	etag:%2288e5c61a1149d91:0%22	https://frogtoken.net/img/eco/apps.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/apps.png	(from https://frogtoken.net/)
10:52:38	1638890/1638890	---M--	200	added ('OK')	image/png	etag:%222e4dc23b1149d91:0%22	https://frogtoken.net/img/eco/swap.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/swap.png	(from https://frogtoken.net/)
10:52:38	1349287/1349287	---M--	200	added ('OK')	image/png	etag:%2245bdcd151149d91:0%22	https://frogtoken.net/img/eco/ai.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/ai.png	(from https://frogtoken.net/)
10:52:39	1659616/1659616	---M--	200	added ('OK')	image/png	etag:%2291fc28261149d91:0%22	https://frogtoken.net/img/eco/chain.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/chain.png	(from https://frogtoken.net/)
10:52:39	1585839/1585839	---M--	200	added ('OK')	image/png	etag:%22b01817221149d91:0%22	https://frogtoken.net/img/eco/browser.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/browser.png	(from https://frogtoken.net/)
10:52:40	1533166/1533166	---M--	200	added ('OK')	image/png	etag:%225e919d1e1149d91:0%22	https://frogtoken.net/img/eco/bridge.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/bridge.png	(from https://frogtoken.net/)
10:52:40	1662932/1662932	---M--	200	added ('OK')	image/png	etag:%22d9133d381149d91:0%22	https://frogtoken.net/img/eco/pay.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/pay.png	(from https://frogtoken.net/)
10:52:40	1593815/1593815	---M--	200	added ('OK')	image/png	etag:%22911a56341149d91:0%22	https://frogtoken.net/img/eco/nft.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/nft.png	(from https://frogtoken.net/)
10:52:42	1604220/1604220	---M--	200	added ('OK')	image/png	etag:%22dfbcf5291149d91:0%22	https://frogtoken.net/img/eco/clothings.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/eco/clothings.png	(from https://frogtoken.net/)
10:52:43	628022/628022	---M--	200	added ('OK')	image/png	etag:%22f79216a2da49d91:0%22	https://frogtoken.net/assets/images/features-03.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/images/features-03.png	(from https://frogtoken.net/)
10:52:43	1555/1555	---MCZ	200	added ('OK')	text/css	etag:W/%22613-18c8c2cafa0%22	https://letsexchange.io/widget_lets.css	C:/Users/ADMIN/Downloads/Meme%20Project/frog/letsexchange.io/widget_lets.css	(from https://frogtoken.net/)
10:52:44	3059/3059	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bf3-18c8c2cafa0%22	https://letsexchange.io/init_widget.js	C:/Users/ADMIN/Downloads/Meme%20Project/frog/letsexchange.io/init_widget.js	(from https://frogtoken.net/)
10:52:44	15416/15416	---M--	200	added ('OK')	image/png	etag:%22e63c8cc56052d91:0%22	https://frogtoken.net/img/pinksalelogo.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/pinksalelogo.png	(from https://frogtoken.net/)
10:52:44	6957/6957	---M--	200	added ('OK')	image/png	etag:%22eaebd9a5f949d91:0%22	https://frogtoken.net/img/bsc2.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/bsc2.png	(from https://frogtoken.net/)
10:52:45	19512/19512	---M--	200	added ('OK')	image/png	etag:%2213a059d1f949d91:0%22	https://frogtoken.net/img/pcs.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/pcs.png	(from https://frogtoken.net/)
10:52:45	10918/10918	---M--	200	added ('OK')	image/png	etag:%22637547f16052d91:0%22	https://frogtoken.net/img/dex2.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/dex2.png	(from https://frogtoken.net/)
10:52:46	2620/2620	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229ecc783cfb54d91:0%22	https://frogtoken.net/img/bloomberg.svg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/bloomberg.svg	(from https://frogtoken.net/)
10:52:47	53503/53503	---M--	200	added ('OK')	image/png	etag:%22b8db553ffb54d91:0%22	https://frogtoken.net/img/yahoo.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/yahoo.png	(from https://frogtoken.net/)
10:52:47	15505/15505	---M--	200	added ('OK')	image/jpeg	etag:%22b8884f913955d91:0%22	https://frogtoken.net/img/bloksafu.jpg	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/img/bloksafu.jpg	(from https://frogtoken.net/)
10:52:48	45249/45249	---M--	200	added ('OK')	image/png	etag:%227a39e99cd65d91:0%22	https://frogtoken.net/qr.png	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/qr.png	(from https://frogtoken.net/)
10:52:49	4863/4863	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:52:54%20GMT	https://frogtoken.net/landing-04.html	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/landing-04.html	(from https://frogtoken.net/)
10:52:49	4857/4857	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:52:54%20GMT	https://frogtoken.net/privacy.html	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/privacy.html	(from https://frogtoken.net/)
10:52:49	4853/4853	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:52:55%20GMT	https://frogtoken.net/terms.html	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/terms.html	(from https://frogtoken.net/)
10:52:50	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226581a422-4d7%22	https://frogtoken.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://frogtoken.net/)
10:52:50	6981/6981	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:52:56%20GMT	https://frogtoken.net/assets/fonts/syne/Syne-Bold.woff2	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/syne/Syne-Bold.woff2	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:51	34640/34640	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/syne/Syne-Bold.woff	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/syne/Syne-Bold.woff	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:52	6989/6989	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:52:58%20GMT	https://frogtoken.net/assets/fonts/stolzl/Stolzl-Book.woff2	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/stolzl/Stolzl-Book.woff2	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:53	22568/22568	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/stolzl/Stolzl-Book.woff	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/stolzl/Stolzl-Book.woff	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:54	6989/6989	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:52:59%20GMT	https://frogtoken.net/assets/fonts/stolzl/Stolzl-Bold.woff2	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/stolzl/Stolzl-Bold.woff2	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:54	21552/21552	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/stolzl/Stolzl-Bold.woff	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/stolzl/Stolzl-Bold.woff	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:55	7009/7009	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:53:01%20GMT	https://frogtoken.net/assets/fonts/stolzl/StolzlDisplay-Regular.woff2	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/stolzl/StolzlDisplay-Regular.woff2	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:56	40928/40928	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/stolzl/StolzlDisplay-Regular.woff	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/stolzl/StolzlDisplay-Regular.woff	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:57	7003/7003	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:53:02%20GMT	https://frogtoken.net/assets/fonts/stolzl/StolzlDisplay-Bold.woff2	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/stolzl/StolzlDisplay-Bold.woff2	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:57	34576/34576	---MCZ	200	added ('OK')	font/x-woff	etag:W/%220b1485a2fbbd81:0%22	https://frogtoken.net/assets/fonts/stolzl/StolzlDisplay-Bold.woff	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/stolzl/StolzlDisplay-Bold.woff	(from https://frogtoken.net/assets/css/theme/main.css)
10:52:58	7025/7025	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jan%202024%2003:53:04%20GMT	https://frogtoken.net/assets/fonts/power-grotesk/PowerGrotesk-UltraBold.woff2	C:/Users/ADMIN/Downloads/Meme%20Project/frog/frogtoken.net/assets/fonts/power-grotesk/PowerGrotesk-UltraBold.woff2	(from https://frogtoken.net/assets/css/theme/main.css)
